사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도,사고다발지역폴리곤정보,데이터기준일자
2013098,2012,보행노인,30140002,대전광역시 중구2,대전광역시 중구 은행동(- 인근),3,3,0,1,2,0,36.32819989,127.42892313,"{""type"":""Polygon"",""coordinates"":[[[127.4304982,36.3294743],[127.4301607,36.3296985],[127.4297756,36.3298651],[127.4293577,36.3299676],[127.4289231,36.3300023],[127.4284886,36.3299676],[127.4280707,36.3298651],[127.4276856,36.3296985],[127.4273481,36.3294743],[127.427071,36.3292012],[127.4268652,36.3288896],[127.4267385,36.3285515],[127.4266957,36.3281999],[127.4267385,36.3278482],[127.4268652,36.3275101],[127.4270711,36.3271985],[127.4273481,36.3269254],[127.4276856,36.3267013],[127.4280707,36.3265347],[127.4284886,36.3264322],[127.4289231,36.3263975],[127.4293577,36.3264322],[127.4297755,36.3265347],[127.4301606,36.3267013],[127.4304981,36.3269254],[127.4307752,36.3271985],[127.430981,36.3275101],[127.4311078,36.3278482],[127.4311506,36.3281999],[127.4311078,36.3285515],[127.430981,36.3288896],[127.4307752,36.3292012],[127.4304982,36.3294743]]]}",2023-01-25
2013098,2012,보행노인,30140003,대전광역시 중구3,대전광역시 중구 태평동(삼부아파트 부근),3,3,0,3,0,0,36.32128203,127.39217816,"{""type"":""Polygon"",""coordinates"":[[[127.3937531,36.3225565],[127.3934156,36.3227806],[127.3930305,36.3229472],[127.3926127,36.3230498],[127.3921782,36.3230844],[127.3917436,36.3230498],[127.3913258,36.3229472],[127.3909407,36.3227806],[127.3906032,36.3225565],[127.3903262,36.3222834],[127.3901204,36.3219718],[127.3899937,36.3216336],[127.3899509,36.321282],[127.3899937,36.3209304],[127.3901205,36.3205923],[127.3903263,36.3202807],[127.3906033,36.3200076],[127.3909408,36.3197834],[127.3913258,36.3196169],[127.3917437,36.3195143],[127.3921782,36.3194797],[127.3926127,36.3195143],[127.3930305,36.3196169],[127.3934155,36.3197834],[127.393753,36.3200076],[127.39403,36.3202807],[127.3942359,36.3205923],[127.3943626,36.3209304],[127.3944054,36.321282],[127.3943626,36.3216336],[127.3942359,36.3219718],[127.3940301,36.3222834],[127.3937531,36.3225565]]]}",2023-01-25
2013098,2012,보행노인,30170001,대전광역시 서구1,대전광역시 서구 변동(번동사거리 부근),3,3,1,2,0,0,36.32432297,127.37842772,"{""type"":""Polygon"",""coordinates"":[[[127.3800027,36.3255974],[127.3796652,36.3258216],[127.3792801,36.3259881],[127.3788623,36.3260907],[127.3784277,36.3261253],[127.3779932,36.3260907],[127.3775753,36.3259881],[127.3771903,36.3258216],[127.3768527,36.3255974],[127.3765757,36.3253243],[127.3763699,36.3250127],[127.3762432,36.3246746],[127.3762004,36.324323],[127.3762432,36.3239713],[127.3763699,36.3236332],[127.3765758,36.3233216],[127.3768528,36.3230485],[127.3771903,36.3228243],[127.3775754,36.3226578],[127.3779932,36.3225552],[127.3784277,36.3225206],[127.3788622,36.3225552],[127.3792801,36.3226578],[127.3796651,36.3228243],[127.3800027,36.3230485],[127.3802797,36.3233216],[127.3804855,36.3236332],[127.3806123,36.3239713],[127.3806551,36.324323],[127.3806123,36.3246746],[127.3804855,36.3250127],[127.3802797,36.3253243],[127.3800027,36.3255974]]]}",2023-01-25
2013098,2012,보행노인,30230001,대전광역시 대덕구1,대전광역시 대덕구 와동(리더스 어학원 부근),3,3,0,3,0,0,36.40045167,127.42349029,"{""type"":""Polygon"",""coordinates"":[[[127.4250668,36.4017261],[127.424729,36.4019503],[127.4243435,36.4021168],[127.4239253,36.4022194],[127.4234903,36.402254],[127.4230553,36.4022194],[127.4226371,36.4021168],[127.4222516,36.4019503],[127.4219138,36.4017261],[127.4216365,36.401453],[127.4214305,36.4011414],[127.4213036,36.4008033],[127.4212608,36.4004516],[127.4213036,36.4001],[127.4214305,36.3997619],[127.4216365,36.3994503],[127.4219138,36.3991772],[127.4222517,36.3989531],[127.4226371,36.3987865],[127.4230553,36.398684],[127.4234903,36.3986493],[127.4239252,36.398684],[127.4243435,36.3987865],[127.4247289,36.3989531],[127.4250668,36.3991772],[127.425344,36.3994503],[127.4255501,36.3997619],[127.425677,36.4001],[127.4257198,36.4004516],[127.425677,36.4008033],[127.4255501,36.4011414],[127.4253441,36.401453],[127.4250668,36.4017261]]]}",2023-01-25
2013098,2012,보행노인,30230002,대전광역시 대덕구2,대전광역시 대덕구 석봉동(굴칼국수 부근),3,3,0,3,0,0,36.44769478,127.42575054,"{""type"":""Polygon"",""coordinates"":[[[127.427328,36.4489692],[127.42699,36.4491934],[127.4266043,36.4493599],[127.4261858,36.4494625],[127.4257505,36.4494971],[127.4253153,36.4494625],[127.4248968,36.4493599],[127.4245111,36.4491934],[127.4241731,36.4489692],[127.4238956,36.4486961],[127.4236895,36.4483845],[127.4235625,36.4480464],[127.4235197,36.4476948],[127.4235626,36.4473431],[127.4236895,36.447005],[127.4238957,36.4466934],[127.4241731,36.4464203],[127.4245112,36.4461962],[127.4248968,36.4460296],[127.4253153,36.4459271],[127.4257505,36.4458924],[127.4261858,36.4459271],[127.4266042,36.4460296],[127.4269899,36.4461962],[127.427328,36.4464203],[127.4276054,36.4466934],[127.4278116,36.447005],[127.4279385,36.4473431],[127.4279814,36.4476948],[127.4279386,36.4480464],[127.4278116,36.4483845],[127.4276055,36.4486961],[127.427328,36.4489692]]]}",2023-01-25
2013099,2012,자전거,30110001,대전광역시 동구1,대전광역시 동구 삼성동(GE전기상사 부근),5,5,0,3,2,0,36.34180899,127.42511895,"{""type"":""Polygon"",""coordinates"":[[[127.4266943,36.3430834],[127.4263567,36.3433076],[127.4259715,36.3434742],[127.4255536,36.3435767],[127.4251189,36.3436114],[127.4246843,36.3435767],[127.4242664,36.3434742],[127.4238812,36.3433076],[127.4235436,36.3430834],[127.4232665,36.3428103],[127.4230607,36.3424987],[127.4229339,36.3421606],[127.4228911,36.341809],[127.4229339,36.3414574],[127.4230607,36.3411192],[127.4232666,36.3408076],[127.4235437,36.3405345],[127.4238812,36.3403104],[127.4242664,36.3401438],[127.4246843,36.3400413],[127.4251189,36.3400066],[127.4255536,36.3400413],[127.4259715,36.3401438],[127.4263566,36.3403104],[127.4266942,36.3405345],[127.4269713,36.3408076],[127.4271772,36.3411192],[127.427304,36.3414574],[127.4273468,36.341809],[127.427304,36.3421606],[127.4271772,36.3424987],[127.4269714,36.3428103],[127.4266943,36.3430834]]]}",2023-01-25
2013099,2012,자전거,30140001,대전광역시 중구1,대전광역시 중구 태평동(태평1동 예가@ 부근),5,5,0,4,1,0,36.32294056,127.396069,"{""type"":""Polygon"",""coordinates"":[[[127.397644,36.324215],[127.3973064,36.3244392],[127.3969214,36.3246057],[127.3965035,36.3247083],[127.396069,36.3247429],[127.3956345,36.3247083],[127.3952166,36.3246057],[127.3948315,36.3244392],[127.394494,36.324215],[127.394217,36.3239419],[127.3940112,36.3236303],[127.3938845,36.3232922],[127.3938417,36.3229405],[127.3938845,36.3225889],[127.3940113,36.3222508],[127.3942171,36.3219392],[127.3944941,36.3216661],[127.3948316,36.3214419],[127.3952167,36.3212754],[127.3956345,36.3211728],[127.396069,36.3211382],[127.3965035,36.3211728],[127.3969213,36.3212754],[127.3973064,36.3214419],[127.3976439,36.3216661],[127.3979209,36.3219392],[127.3981267,36.3222508],[127.3982535,36.3225889],[127.3982963,36.3229405],[127.3982535,36.3232922],[127.3981268,36.3236303],[127.397921,36.3239419],[127.397644,36.324215]]]}",2023-01-25
2013099,2012,자전거,30170001,대전광역시 서구1,대전광역시 서구 탄방동(용문네거리 부근),5,5,0,3,2,0,36.33883716,127.3928038,"{""type"":""Polygon"",""coordinates"":[[[127.3943791,36.3401116],[127.3940415,36.3403358],[127.3936563,36.3405023],[127.3932384,36.3406049],[127.3928038,36.3406395],[127.3923692,36.3406049],[127.3919513,36.3405023],[127.3915661,36.3403358],[127.3912285,36.3401116],[127.3909515,36.3398385],[127.3907456,36.3395269],[127.3906188,36.3391888],[127.390576,36.3388371],[127.3906189,36.3384855],[127.3907456,36.3381474],[127.3909515,36.3378358],[127.3912286,36.3375627],[127.3915662,36.3373385],[127.3919513,36.337172],[127.3923692,36.3370694],[127.3928038,36.3370348],[127.3932384,36.3370694],[127.3936563,36.337172],[127.3940415,36.3373385],[127.394379,36.3375627],[127.3946561,36.3378358],[127.394862,36.3381474],[127.3949887,36.3384855],[127.3950316,36.3388371],[127.3949888,36.3391888],[127.394862,36.3395269],[127.3946561,36.3398385],[127.3943791,36.3401116]]]}",2023-01-25
2014095,2013,스쿨존어린이,30110001,대전광역시 동구1,대전광역시 동구 낭월동(산내초교 부근),2,3,0,0,3,0,36.2785422,127.46901223,"{""type"":""Polygon"",""coordinates"":[[[127.4713734,36.2804539],[127.4709749,36.2807294],[127.4705282,36.2809511],[127.4700441,36.2811134],[127.4695346,36.2812125],[127.4690122,36.2812458],[127.4684899,36.2812125],[127.4679804,36.2811134],[127.4674963,36.2809511],[127.4670495,36.2807294],[127.4666511,36.2804539],[127.4663108,36.2801313],[127.4660371,36.2797696],[127.4658366,36.2793776],[127.4657143,36.2789651],[127.4656732,36.2785422],[127.4657143,36.2781192],[127.4658366,36.2777067],[127.4660371,36.2773148],[127.4663109,36.276953],[127.4666512,36.2766305],[127.4670496,36.2763549],[127.4674964,36.2761333],[127.4679804,36.2759709],[127.4684899,36.2758719],[127.4690122,36.2758386],[127.4695346,36.2758719],[127.470044,36.2759709],[127.4705281,36.2761333],[127.4709748,36.2763549],[127.4713732,36.2766305],[127.4717135,36.276953],[127.4719873,36.2773148],[127.4721878,36.2777067],[127.4723102,36.2781192],[127.4723513,36.2785422],[127.4723102,36.2789651],[127.4721879,36.2793776],[127.4719874,36.2797696],[127.4717136,36.2801313],[127.4713734,36.2804539]]]}",2023-01-25
2014095,2013,스쿨존어린이,30140001,대전광역시 중구1,대전광역시 중구 태평동(버드내초교 부근),2,3,0,1,2,0,36.31819242,127.39174971,"{""type"":""Polygon"",""coordinates"":[[[127.394112,36.3201041],[127.3937134,36.3203796],[127.3932664,36.3206013],[127.3927821,36.3207637],[127.3922723,36.3208627],[127.3917497,36.320896],[127.3912271,36.3208627],[127.3907173,36.3207637],[127.390233,36.3206013],[127.389786,36.3203796],[127.3893874,36.3201041],[127.3890469,36.3197815],[127.388773,36.3194198],[127.3885724,36.3190278],[127.3884501,36.3186153],[127.388409,36.3181924],[127.3884501,36.3177694],[127.3885725,36.3173569],[127.3887731,36.316965],[127.389047,36.3166033],[127.3893875,36.3162807],[127.3897861,36.3160052],[127.3902331,36.3157835],[127.3907174,36.3156212],[127.3912271,36.3155221],[127.3917497,36.3154889],[127.3922723,36.3155221],[127.392782,36.3156212],[127.3932663,36.3157835],[127.3937133,36.3160052],[127.3941119,36.3162807],[127.3944524,36.3166033],[127.3947263,36.316965],[127.3949269,36.3173569],[127.3950493,36.3177694],[127.3950905,36.3181924],[127.3950493,36.3186153],[127.394927,36.3190278],[127.3947264,36.3194198],[127.3944525,36.3197815],[127.394112,36.3201041]]]}",2023-01-25
