사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019090500100597,2019년 9월 5일 19시,목요일,대전광역시 서구 월평동,사망사고,1,0,1,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,단일로 - 기타,이륜,남,45세,상해없음,보행자,남,47세,사망
2019090600100038,2019년 9월 6일 00시,금요일,대전광역시 유성구 원신흥동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,25세,상해없음,보행자,여,32세,중상
2019090600100357,2019년 9월 6일 15시,금요일,대전광역시 서구 탄방동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,32세,기타불명,보행자,남,64세,중상
2019090600100510,2019년 9월 6일 18시,금요일,대전광역시 중구 산성동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,42세,상해없음,보행자,여,24세,경상
2019090600100513,2019년 9월 6일 18시,금요일,대전광역시 유성구 구암동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,보행자,여,27세,경상
2019090600100654,2019년 9월 6일 21시,금요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,젖음/습기,비,기타 - 기타,승합,남,52세,기타불명,보행자,여,69세,경상
2019090600100655,2019년 9월 6일 21시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,보행자,남,20세,경상
2019090600100696,2019년 9월 6일 22시,금요일,대전광역시 중구 대흥동,경상사고,0,0,2,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,39세,상해없음,보행자,여,40세,경상
2019090700100070,2019년 9월 7일 01시,토요일,대전광역시 유성구 궁동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,보행자,남,20세,경상
2019090700100118,2019년 9월 7일 05시,토요일,대전광역시 동구 성남동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,59세,상해없음,보행자,남,52세,경상
2019090700100323,2019년 9월 7일 15시,토요일,대전광역시 서구 가장동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,64세,상해없음,보행자,남,37세,경상
2019090800100432,2019년 9월 8일 19시,일요일,대전광역시 대덕구 중리동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,젖음/습기,흐림,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,여,15세,부상신고
2019090900100050,2019년 9월 9일 03시,월요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,보행자,여,32세,경상
2019090900100379,2019년 9월 9일 13시,월요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,젖음/습기,비,주차장 - 주차장,승용,여,65세,상해없음,보행자,남,26세,경상
2019090900100456,2019년 9월 9일 15시,월요일,대전광역시 동구 판암동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,젖음/습기,비,교차로 - 교차로횡단보도내,화물,남,51세,상해없음,보행자,여,77세,중상
2019091000100040,2019년 9월 10일 00시,화요일,대전광역시 유성구 장대동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로안,화물,남,53세,상해없음,보행자,남,46세,경상
